trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.998}",20,8,-65.27276330165422,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.996}",25,0,-77.83300408302493,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.994}",20,0,-36.547218591010065,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.992}",25,0,-85.59491301308142,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.99}",25,0,-149.76399655624672,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.988}",20,0,-88.94953867848602,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.986}",25,0,-122.22877621523912,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.984}",20,0,-131.4760346783445,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.982}",30,0,-203.68153971614691,"{0: 19, 1: 3, 2: 3, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.98}",25,0,-72.95051038086329,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.978}",30,0,-179.60521663336897,"{0: 19, 1: 4, 2: 2, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.976}",25,0,-117.5733086546562,"{0: 12, 1: 1, 2: 11, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.974}",20,0,-92.41261771800558,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.972}",35,0,-105.04780467218062,"{0: 23, 1: 5, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.97}",35,0,-82.35534371937027,"{0: 24, 1: 5, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.968}",20,0,-114.47713335221606,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.966}",35,0,-156.86295048546393,"{0: 18, 1: 10, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.964}",25,15,-30.105890344283115,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.962}",20,0,-161.7980188754069,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.96}",20,0,-43.12274782829618,"{0: 14, 1: 4, 2: 0, 3: 2, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.958}",25,0,-107.05194573181306,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.956}",25,0,-142.35641787825006,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.954}",20,0,-135.68618677184276,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.952}",20,0,-80.53721251859018,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.95}",30,0,-151.02015405586405,"{0: 14, 1: 8, 2: 5, 3: 2, 4: 1}",0
