trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-99.75140422399313,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-84.12530332529063,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-47.98172641930282,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-69.12573624541443,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-73.08760054021016,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-107.33271237023432,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-173.02858591247278,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-49.54345587041328,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-83.79633586902514,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-98.14083371036367,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,7,-62.20989663633881,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-100.94090959690097,"{0: 20, 1: 1, 2: 0, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-36.64335309734985,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,2,-90.12662237423893,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,3.37667761939696,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,5,-105.49031947844377,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-67.22598307013212,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-38.95985073017931,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,14.704558566870054,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-27.052411743557148,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",35,0,-28.67790368350163,"{0: 31, 1: 0, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,7,18.715615111053847,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-72.99253201494749,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-152.57566651028083,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 4}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,21,-40.45409329172,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,12,-68.97769070200347,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-162.34248536897493,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,10,-38.75267580984539,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,0,15.545430828153398,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-62.28819382421014,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
