trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.97468537815598,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-65.65586153790237,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.13878915273466,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.68583879493339,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-184.9332788847646,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.81980733882475,"{0: 13, 1: 7, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.41435561086132,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-24.197580114493423,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.78218489677,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-159.56120472331366,"{0: 21, 1: 1, 2: 2, 3: 4, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,14,-47.7300536490442,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.11785168896297,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.75550916968447,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.89959239957203,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.79443169503841,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.31128576157029,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-133.69815810487663,"{0: 20, 1: 5, 2: 8, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-103.41328277312472,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.6176848242365,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-250.33323873526228,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 5}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-295.29329953035744,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-2.603431624417163,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-198.67796114997512,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.39146617220449,"{0: 9, 1: 8, 2: 2, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.812508868317714,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-37.596941133986434,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-209.36608058934505,"{0: 23, 1: 1, 2: 7, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-198.97829197663972,"{0: 10, 1: 7, 2: 5, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-93.96278112021075,"{0: 23, 1: 0, 2: 4, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,15,-60.79346704227499,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
